Refinements,mesh-width,DOFs,SpectralRadii,AvgIters
1,5.000000e-01,545,"0.338848",19.75
2,2.500000e-01,3681,"0.39104",24.75
3,1.250000e-01,26945,"0.431468",28.00
4,6.250000e-02,205953,"0.462379",29.00
5,3.125000e-02,1609985,"0.48395",29.00
